country,year,pathogen,antibiotic,resistance_pct
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,diaminopyrimidine,0
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fluoroquinolone,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,fosfomycin,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
Global,2024.0,,glycylcycline,100
Global,2024.0,Escherichia coli,glycylcycline,100
